Nr.;Istituto
1;"ISTITUTO ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA"
2;"ISTITUTO ISTRUZIONE ""La Rosa Bianca-Weisse Rose"" - CAVALESE"
3;"LICEO ""B. Russel"" - CLES"
4;"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES"
5;"ISTITUTO ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO"
6;"ISTITUTO ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA"
7;"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA"
8;"LICEO ""A. Maffei"" - RIVA DEL GARDA"
9;"ISTITUTO ISTRUZIONE ""Don Milani"" - ROVERETO"
10;"LICEO ""A. Rosmini"" - ROVERETO"
11;"LICEO ""F. Filzi"" - ROVERETO"
12;"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F.lli Fontana"" - ROVERETO"
13;"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO"
14;"ISTITUTO ISTRUZIONE ""L. Guetti"" - TIONE"
15;"LICEO CLASSICO ""G. Prati"" - TRENTO"
16;"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO"
17;"LICEO ""A. Rosmini"" - TRENTO"
18;"LICEO SCIENTIFICO ""L. Da Vinci"" - TRENTO"
19;"LICEO LINGUISTICO ""Sophie School"" - TRENTO"
20;"ISTITUTO TECNICO ECONOMICO ""Tambosi-Battisti"" - TRENTO"
21;"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti / A. Pozzo"" - TRENTO"
22;"ISTITUTO ISTRUZIONE DELLE ARTI - TRENTO - ROVERETO"
23;"ISTITUTO DI FORMAZIONE PROFESSIONALE ALBERGHIERO - ROVERETO - LEVICO"
24;"ISTITUTO DI FORMAZIONE PROFESSIONALE SERVIZI ALLA PERSONA E DEL LEGNO - TRENTO"
